Year,Faculty,Department,Program,Campus,Semester_Type,Merit_Percentage
2024,Arts & Humanities,Department of Archaeology,BS (Hons.),Main,1st Semester Morning,42.11
2024,Arts & Humanities,Department of Archaeology,BS (Hons.),Main,5th Semester Morning,49.56
2024,Arts & Humanities,Institute of English Studies,BS (Hons.),Main,1st Semester Morning,80.00
2024,Arts & Humanities,Institute of English Studies,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,70.00
2024,Arts & Humanities,Institute of English Studies,BS (Hons.),Main,5th Semester Morning,71.91
2024,Arts & Humanities,Institute of English Studies,BS (Hons.),Main,5th Semester Evening/Replica/Self Support,54.08
2024,Arts & Humanities,Department of French Language & Literature,BS (Hons.),Main,1st Semester Morning,52.71
2024,Arts & Humanities,Department of French Language & Literature,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,54.40
2024,Arts & Humanities,Department of History & Pakistan Studies,BS (Hons.),Main,1st Semester Morning,0.0
2024,Arts & Humanities,Department of History & Pakistan Studies,BS (Hons.),Main,5th Semester Morning,0.0
2024,Arts & Humanities,Department of Philosophy,BS (Hons.),Main,1st Semester Morning,48.80
2024,Arts & Humanities,Department of Philosophy,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,50.17
2024,Arts & Humanities,Department of Sports Science & Physical Education,BS (Hons.),Main,1st Semester Morning,57.41
2024,Arts & Humanities,Department of Sports Science & Physical Education,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,51.20
2024,Arts & Humanities,College of Art & Design - Fine Arts,BS (Hons.),Main,1st Semester Morning,72.304
2024,Arts & Humanities,College of Art & Design - Fine Arts,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,52.458
2024,Arts & Humanities,College of Art & Design - Fine Arts,BS (Hons.),Main,5th Semester Morning,61.363
2024,Arts & Humanities,College of Art & Design - Graphics Arts,BS (Hons.),Main,1st Semester Morning,66.241
2024,Arts & Humanities,College of Art & Design - Graphics Arts,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,45.720
2024,Arts & Humanities,College of Art & Design - Textile Design,BS (Hons.),Main,1st Semester Morning,69.797
2024,Arts & Humanities,College of Art & Design - Textile Design,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,58.399
2024,Arts & Humanities,College of Art & Design - Sculpture,BS (Hons.),Main,1st Semester Morning,47.882
2024,Arts & Humanities,College of Art & Design - Sculpture,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,45.720
2024,Arts & Humanities,College of Art & Design - Graphic Design,BS (Hons.),Main,1st Semester Morning,72.885
2024,Arts & Humanities,College of Art & Design - Graphic Design,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,61.043
2024,Arts & Humanities,College of Art & Design - B. Architecture,BS (Hons.),Main,1st Semester Morning,74.65
2024,Behavioral & Social Sciences,Department of Political Science,BS (Hons.) - Political Science,Main,1st Semester Morning,80.42
2024,Behavioral & Social Sciences,Department of Political Science,BS (Hons.) - International Relations,Main,1st Semester Morning,81.77
2024,Behavioral & Social Sciences,Department of Political Science,BS (Hons.) - Diplomacy & Strategic Studies,Main,1st Semester Evening/Replica/Self Support,55.66
2024,Behavioral & Social Sciences,Department of Political Science,BS (Hons.) - Political Science,Main,5th Semester Morning,70.96
2024,Behavioral & Social Sciences,Department of Political Science,BS (Hons.) - International Relations,Main,5th Semester Morning,65.72
2024,Behavioral & Social Sciences,Department of Social Work,BS (Hons.) - Social Work,Main,1st Semester Morning,54.94
2024,Behavioral & Social Sciences,Department of Social Work,BS (Hons.) - Entrepreneurship,Main,1st Semester Morning,42.52
2024,Behavioral & Social Sciences,Department of Social Work,BS (Hons.) - Social Work,Main,1st Semester Evening/Replica/Self Support,46.17
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Sociology,BS (Hons.),Main,1st Semester Morning,77.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Sociology,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,68.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Sociology,BS (Hons.),Main,5th Semester Morning,74.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Sociology,BS (Hons.),Main,5th Semester Evening/Replica/Self Support,60.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Criminology,BS (Hons.),Main,1st Semester Morning,65.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Criminology,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,55.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Criminology,BS (Hons.),Main,5th Semester Morning,56.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Demography,BS (Hons.),Main,1st Semester Morning,62.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Public Health,BS (Hons.),Main,1st Semester Morning,76.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Public Health,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,69.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Public Health,BS (Hons.),Main,5th Semester Morning,69.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Human Nutrition & Dietetics,BS (Hons.),Main,1st Semester Morning,85.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Human Nutrition & Dietetics,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,71.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Human Nutrition & Dietetics,BS (Hons.),Main,5th Semester Morning,71.00
2024,Behavioral & Social Sciences,Institute of Social & Cultural Studies - Workplace Health Safety Promotion,BS (Hons.),Main,1st Semester Morning,65.00
2024,Behavioral & Social Sciences,Department of Gender Studies,BS (Hons.),Main,1st Semester Morning,58.00
2024,Behavioral & Social Sciences,Department of Gender Studies - Gender And Climate Change,BS (Hons.),Main,1st Semester Morning,55.00
2024,Behavioral & Social Sciences,Department of Gender Studies,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,50.00
2024,Behavioral & Social Sciences,Department of Gender Studies,BS (Hons.),Main,5th Semester Morning,54.00
2024,Behavioral & Social Sciences,Institute of Applied Psychology,BS (Hons.),Main,1st Semester Morning,78.14
2024,Behavioral & Social Sciences,Institute of Applied Psychology,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,57.28
2024,Behavioral & Social Sciences,Institute of Applied Psychology,BS (Hons.),Main,5th Semester Morning,63.42
2024,Behavioral & Social Sciences,Institute of Applied Psychology,BS (Hons.),Main,5th Semester Evening/Replica/Self Support,47.03
2024,Behavioral & Social Sciences,Centre for Clinical Psychology,BS (Hons.),Main,1st Semester Morning,83.71
2024,Behavioral & Social Sciences,Centre for Clinical Psychology,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,77.11
2024,Information & Media Studies,Department of Development Communication,BS (Hons.),Main,1st Semester Morning,65.00
2024,Information & Media Studies,Department of Development Communication,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,55.00
2024,Information & Media Studies,Department of Digital Media,BS (Hons.),Main,1st Semester Morning,79.30
2024,Information & Media Studies,Department of Digital Media,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,67.20
2024,Information & Media Studies,Department of Communication & Media Research,BS (Hons.),Main,1st Semester Morning,73.28
2024,Information & Media Studies,Department of Communication & Media Research,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,52.42
2024,Information & Media Studies,Department of Public Relations and Advertising,BS (Hons.),Main,1st Semester Morning,65.88
2024,Information & Media Studies,Department of Public Relations and Advertising,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,55.85
2024,Information & Media Studies,Department of Film and Broadcasting,BS (Hons.),Main,1st Semester Morning,65.78
2024,Information & Media Studies,Department of Film and Broadcasting,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,57.98
2024,Information & Media Studies,Institute of Information Management,BS (Hons.),Main,1st Semester Morning,74.13
2024,Information & Media Studies,Institute of Information Management,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,49.01
2024,Information & Media Studies,Institute of Information Management,BS (Hons.),Main,5th Semester Morning,55.23
2024,Information & Media Studies,Institute of Information Management,BS (Hons.),Main,5th Semester Evening/Replica/Self Support,48.86
2024,Commerce,Hailey College of Commerce - BS Commerce,BS (Hons.),Main,1st Semester Morning,63.44
2024,Commerce,Hailey College of Commerce - Accounting & Finance,BS (Hons.),Main,1st Semester Morning,80.95
2024,Commerce,Hailey College of Commerce - Electronic Commerce,BS (Hons.),Main,1st Semester Morning,79.25
2024,Commerce,Hailey College of Commerce - Accounting & Taxation,BS (Hons.),Main,1st Semester Morning,76.52
2024,Commerce,Hailey College of Commerce - BS Commerce,BS (Hons.),Main,1st Semester Evening/Replica/Self Support,52.00
